rank_2023_2024,rank_5yr,trend_symbol,trend,school_name,city,overall_rating_2023_2024,overall_rating_5yr 
1,1,—,no_change,Corpus Christi,Vancouver,10.0,10.0
1,1,—,no_change,Crofton House,Vancouver,10.0,10.0
1,1,—,no_change,Our Lady of Mercy,Burnaby,10.0,10.0
1,1,—,no_change,Southpointe Academy,Delta,10.0,10.0
1,1,—,no_change,St George's,Vancouver,10.0,10.0
1,1,—,no_change,St Jude's,Vancouver,10.0,10.0
1,1,q,down,St Michaels,Burnaby,10.0,10.0
1,1,—,no_change,Vancouver College,Vancouver,10.0,10.0
1,1,—,no_change,York House,Vancouver,10.0,10.0
1,10,—,no_change,St Micheals University,Victoria,10.0,10.0
1,11,—,no_change,Southridge,Surrey,10.0,9.9
1,13,,n/a,Westcot,West Vancouver,10.0,9.9
1,14,p,up,Diamond/Crescent Heights,Surrey,10.0,9.9
1,14,—,no_change,Holy Cross,Burnaby,10.0,9.9
1,17,—,no_change,Khalsa Old Yale Road,Surrey,10.0,9.8
1,18,—,no_change,Khalsa Newton,Surrey,10.0,9.8
1,19,—,no_change,Cornerstone Christian Academy,Richmond,10.0,9.7
1,23,—,no_change,Mulgrave,West Vancouver,10.0,9.6
1,37,—,no_change,Urban Academy Junior,New Westminster,10.0,9.2
1,38,p,up,Timothy Christian,Chilliwack,10.0,9.2
1,47,p,up,John Knox Christian,Burnaby,10.0,9.1
1,64,—,no_change,Immaculate Conception,Vancouver,10.0,8.8
1,104,—,no_change,Queen of All Saints,Coquitlam,10.0,7.9
1,n/a,n/a,n/a,Fraser Valley/Crescent Heights,Surrey,10.0,n/a
1,n/a,n/a,n/a,Nelson Waldorf,Nelson,10.0,n/a
1,n/a,n/a,n/a,Westside Montessori Academy,Vancouver,10.0,n/a
27,21,—,no_change,Ecole Cedardale,West Vancouver,9.8,9.7
27,22,—,no_change,Collingwood,West Vancouver,9.8,9.7
27,35,—,no_change,Delta Christian,Delta,9.8,9.3
27,70,—,no_change,St Edmund's,North Vancouver,9.8,8.7
31,11,—,no_change,West Point Grey Academy,Vancouver,9.7,9.9
31,16,—,no_change,Selkirk Montessori,Victoria,9.7,9.9
31,40,—,no_change,St Augustine's,Vancouver,9.7,9.2
31,44,—,no_change,St Joseph the Worker,Richmond,9.7,9.1
31,46,p,up,St Catherines,Langley,9.7,9.1
36,26,—,no_change,Vancouver Christian,Vancouver,9.6,9.5
36,32,—,no_change,Stratford Hall,Vancouver,9.6,9.3
36,34,—,no_change,St Anthony of Padua,Vancouver,9.6,9.3
36,53,—,no_change,White Rock Christian Academy,Surrey,9.6,9.0
36,n/a,n/a,n/a,Cousteau L'Ecole Francaise Interna'le,North Vancouver,9.6,n/a
41,27,—,no_change,Ecole Pauline Johnson,West Vancouver,9.5,9.4
41,28,—,no_change,St Helen's,Burnaby,9.5,9.4
41,31,p,up,Our Lady of the Assumption,Port Coquitlam,9.5,9.3
41,33,—,no_change,Richmond Christian,Richmond,9.5,9.3
45,25,—,no_change,Meadowridge,Maple Ridge,9.4,9.6
45,29,—,no_change,St Francis of Assisi,Vancouver,9.4,9.3
45,67,p,up,St Bernadette,Surrey,9.4,8.7
45,86,—,no_change,Our Lady of Lourdes,West Kelowna,9.4,8.2
49,19,—,no_change,St Pius X,North Vancouver,9.3,9.7
49,30,—,no_change,Caulfeild,West Vancouver,9.3,9.3
49,41,—,no_change,Iqra,Surrey,9.3,9.1
49,49,—,no_change,St John's,Vancouver,9.3,9.0
49,52,—,no_change,Glenlyon Norfolk,Victoria,9.3,9.0
49,53,—,no_change,The Fernie Academy,Fernie,9.3,9.0
49,58,p,up,Our Lady of Fatima,Coquitlam,9.3,8.8
49,70,—,no_change,Archibald Blair,Richmond,9.3,8.7
49,n/a,n/a,n/a,St Margaret's,Victoria,9.3,n/a
58,42,—,no_change,West Bay,West Vancouver,9.2,9.1
58,43,—,no_change,St Mary's,Vancouver,9.2,9.1
58,57,—,no_change,St Francis de Sales,Burnaby,9.2,8.9
58,79,—,no_change,Jessie Wowk,Richmond,9.2,8.4
58,n/a,n/a,n/a,Whistler Waldorf,Whistler,9.2,n/a
63,39,—,no_change,St Anthony's,West Vancouver,9.1,9.2
63,60,—,no_change,Our Lady of Good Counsel,Surrey,9.1,8.8
63,66,,n/a,Brockton Preparatory,North Vancouver,9.1,8.7
63,82,—,no_change,Spul'u'kwuks,Richmond,9.1,8.3
67,23,q,down,Our Lady of Sorrows,Vancouver,9.0,9.6
67,44,—,no_change,St Paul,Richmond,9.0,9.1
67,55,—,no_change,Star of the Sea,Surrey,9.0,8.9
67,74,—,no_change,Chartwell,West Vancouver,9.0,8.5
67,n/a,n/a,n/a,West-Mont,Victoria,9.0,n/a
72,48,—,no_change,Deer Lake SDA,Burnaby,8.9,9.0
72,50,—,no_change,Aspengrove,Lantzville,8.9,9.0
72,73,—,no_change,Aberdeen Hall Preparatory,Kelowna,8.9,8.6
75,35,—,no_change,St Francis Xavier,Vancouver,8.8,9.3
75,61,—,no_change,Our Lady of Perpetual Help,Vancouver,8.8,8.8
75,132,—,no_change,Annunciation,Prince Rupert,8.8,7.6
78,70,—,no_change,St Patrick's,Victoria,8.7,8.7
78,181,—,no_change,Greendale,Chilliwack,8.7,7.1
80,56,—,no_change,Lions Gate Christian Academy,North Vancouver,8.6,8.9
80,63,—,no_change,Az-Zahraa Islamic Academy,Richmond,8.6,8.8
80,65,—,no_change,Christ Church Cathedral,Victoria,8.6,8.7
80,80,—,no_change,Blessed Sacrament,Vancouver,8.6,8.3
80,87,—,no_change,Pacific Academy,Surrey,8.6,8.2
80,95,—,no_change,Traditional Learning Academy,Coquitlam,8.6,8.1
80,100,—,no_change,St James,Abbotsford,8.6,8.1
80,104,p,up,St Joseph's,Smithers,8.6,7.9
80,n/a,n/a,n/a,Pythagoras Academy,Richmond,8.6,n/a
89,69,—,no_change,Arrow Heights,Revelstoke,8.5,8.7
89,84,—,no_change,Kelowna Christian,Kelowna,8.5,8.2
89,89,—,no_change,Credo Christian s,Langley,8.5,8.2
89,102,p,up,St Mary's,Prince George,8.5,8.0
93,58,q,down,Gleneagles,West Vancouver,8.4,8.8
93,68,,n/a,Ridgeview,West Vancouver,8.4,8.7
93,77,—,no_change,Kootenay Christian Academy,Cranbrook,8.4,8.4
93,78,—,no_change,Holy Trinity,North Vancouver,8.4,8.4
93,91,—,no_change,Highlands,North Vancouver,8.4,8.2
93,119,—,no_change,Lord Kitchener,Vancouver,8.4,7.8
93,n/a,n/a,n/a,Pender Islands,Pender Island,8.4,n/a
93,n/a,n/a,n/a,Sir William Osler,Vancouver,8.4,n/a
101,81,—,no_change,British Columbia Christian Academy Port,Coquitlam,8.3,8.3
101,94,—,no_change,Vancouver Talmud Torah,Vancouver,8.3,8.1
101,97,—,no_change,Alex Hope,Langley,8.3,8.1
101,n/a,n/a,n/a,David Livingstone,Vancouver,8.3,n/a
101,n/a,n/a,n/a,Mount Cheam Christian,Chilliwack,8.3,n/a
106,75,—,no_change,G.A.D.,Surrey,8.2,8.5
106,75,—,no_change,St Ann's Academy,Kamloops,8.2,8.5
106,83,—,no_change,St Mary's,Chilliwack,8.2,8.3
106,85,—,no_change,Immaculate Conception,Delta,8.2,8.2
106,92,—,no_change,Cloverdale Catholic,Surrey,8.2,8.1
106,97,—,no_change,John T Errington,Richmond,8.2,8.1
